iteration,observation,observed state,action,step reward
0,{'obs_sensor':'obad'},{'robot_0':'s03'},5,0
0,{'obs_sensor':'ogood'},{'robot_0':'s03'},9,0
0,{'obs_sensor':'ogood'},{'robot_0':'s04'},0,0
0,{'obs_sensor':'obad'},{'robot_0':'s04'},8,0
0,{'obs_sensor':'ogood'},{'robot_0':'s14'},1,0
0,{'obs_sensor':'ogood'},{'robot_0':'s24'},1,0
0,{'obs_sensor':'ogood'},{'robot_0':'s34'},1,0
0,{'obs_sensor':'ogood'},{'robot_0':'s34'},12,10
0,{'obs_sensor':'obad'},{'robot_0':'s34'},10,0
0,{'obs_sensor':'ogood'},{'robot_0':'s33'},2,0
0,{'obs_sensor':'ogood'},{'robot_0':'s33'},6,0
0,{'obs_sensor':'ogood'},{'robot_0':'s32'},2,0
0,{'obs_sensor':'ogood'},{'robot_0':'s31'},2,0
0,{'obs_sensor':'ogood'},{'robot_0':'s31'},12,10
0,{'obs_sensor':'obad'},{'robot_0':'s31'},4,0
0,{'obs_sensor':'obad'},{'robot_0':'s31'},11,0
0,{'obs_sensor':'ogood'},{'robot_0':'s41'},1,0
0,{'obs_sensor':'obad'},{'robot_0':'s41'},7,0
0,{'obs_sensor':'ogood'},{'robot_0':'s51'},1,0
0,{'obs_sensor':'ogood'},{'robot_0':'s61'},1,0
0,{'obs_sensor':'ogood'},{'robot_0':'st'},1,0
1,{'obs_sensor':'ogood'},{'robot_0':'s03'},5,0
1,{'obs_sensor':'ogood'},{'robot_0':'s02'},2,0
1,{'obs_sensor':'ogood'},{'robot_0':'s01'},2,0
1,{'obs_sensor':'ogood'},{'robot_0':'s01'},12,10
1,{'obs_sensor':'ogood'},{'robot_0':'s11'},1,0
1,{'obs_sensor':'ogood'},{'robot_0':'s21'},1,0
1,{'obs_sensor':'ogood'},{'robot_0':'s21'},4,0
1,{'obs_sensor':'ogood'},{'robot_0':'s20'},2,0
1,{'obs_sensor':'ogood'},{'robot_0':'s20'},12,10
1,{'obs_sensor':'ogood'},{'robot_0':'s21'},0,0
1,{'obs_sensor':'obad'},{'robot_0':'s21'},6,0
1,{'obs_sensor':'ogood'},{'robot_0':'s22'},0,0
1,{'obs_sensor':'ogood'},{'robot_0':'s23'},0,0
1,{'obs_sensor':'ogood'},{'robot_0':'s24'},0,0
1,{'obs_sensor':'obad'},{'robot_0':'s24'},8,0
1,{'obs_sensor':'obad'},{'robot_0':'s24'},9,0
1,{'obs_sensor':'obad'},{'robot_0':'s24'},10,0
1,{'obs_sensor':'ogood'},{'robot_0':'s24'},11,0
1,{'obs_sensor':'obad'},{'robot_0':'s24'},7,0
1,{'obs_sensor':'ogood'},{'robot_0':'s25'},0,0
1,{'obs_sensor':'ogood'},{'robot_0':'s26'},0,0
1,{'obs_sensor':'ogood'},{'robot_0':'s16'},3,0
1,{'obs_sensor':'ogood'},{'robot_0':'s16'},12,10
1,{'obs_sensor':'ogood'},{'robot_0':'s26'},1,0
1,{'obs_sensor':'ogood'},{'robot_0':'s36'},1,0
1,{'obs_sensor':'ogood'},{'robot_0':'s46'},1,0
1,{'obs_sensor':'ogood'},{'robot_0':'s56'},1,0
1,{'obs_sensor':'ogood'},{'robot_0':'s66'},1,0
1,{'obs_sensor':'ogood'},{'robot_0':'st'},1,0
2,{'obs_sensor':'obad'},{'robot_0':'s03'},5,0
2,{'obs_sensor':'obad'},{'robot_0':'s03'},9,0
2,{'obs_sensor':'ogood'},{'robot_0':'s13'},1,0
2,{'obs_sensor':'obad'},{'robot_0':'s13'},11,0
2,{'obs_sensor':'obad'},{'robot_0':'s13'},8,0
2,{'obs_sensor':'ogood'},{'robot_0':'s13'},4,0
2,{'obs_sensor':'ogood'},{'robot_0':'s13'},4,0
2,{'obs_sensor':'ogood'},{'robot_0':'s23'},1,0
2,{'obs_sensor':'ogood'},{'robot_0':'s22'},2,0
2,{'obs_sensor':'ogood'},{'robot_0':'s21'},2,0
2,{'obs_sensor':'ogood'},{'robot_0':'s20'},2,0
2,{'obs_sensor':'ogood'},{'robot_0':'s20'},12,10
2,{'obs_sensor':'obad'},{'robot_0':'s20'},6,0
2,{'obs_sensor':'obad'},{'robot_0':'s20'},10,0
2,{'obs_sensor':'ogood'},{'robot_0':'s20'},7,0
2,{'obs_sensor':'ogood'},{'robot_0':'s21'},0,0
